,apt_name,address
12469,리버빌(삼성),보광동 151
12471,삼안리치10차,후암동 123-51
12472,목화,청파동1가 84-3
12473,한울글로리B,청파동3가 132-68
12474,베르체,청파동3가 132-15
12484,효창팰리스2차,효창동 5-49
12485,효창드림빌,효창동 5-47
12486,세양청마루,효창동 268
12488,예빌리지,효창동 5-262
12490,로얄카운티,효창동 5-606
12491,세인트힐,효창동 5-17
12502,지오베르크,문배동 17-1
12503,CJ나인파크,문배동 24-6
12505,삼라마이다스빌2,문배동 40-19
12509,삼각아파트,한강로1가 231-23
12512,용산 시티파크(1단지),한강로3가 63-389
12513,동아그린,이촌동 411
12515,강서,이촌동 193-5
12520,현대한강,이촌동 400
12521,로얄(e-편한세상),이촌동 301-10
12524,골든맨숀,이촌동 302-53
12530,수정,이촌동 301-155
12540,점보,이촌동 300-10
12544,우성,이촌동 399-1
12559,현대안성타워,한남동 737-28
12568,장미1,한남동 732-19
12572,대림아르빌,한남동 808
12575,SOD빌,동빙고동 1-3
12576,그린파크(코오롱 하늘채),서빙고동 293
12586,신후암,후암동 244-86
12606,제일1,도원동 3-4
12611,이안용산1차(101동),문배동 11-14
12613,벽산메가트리움,한강로2가 2-8
12616,원효전자상가,한강로3가 16-20
12618,전자타운상가,한강로3가 82
12619,쌍용스윗닷홈,한강로3가 89
12622,강변,이촌동 193-3
12637,반도,이촌동 301-170
12643,이촌코오롱(B),이촌동 414
12658,효성빌리지,한남동 799
12664,오페라하우스3차,한남동 657-33
12666,대성 이태리하우스,한남동 809
12667,현대플래티앙2,동빙고동 1-14
12677,신주에지앙,후암동 302
12684,한울글로리A,청파동3가 132-50
12685,로얄카운티-3,원효로1가 17-66
12686,원효,원효로2가 94-2
12693,GS자이,청암동 181
12714,아크로타워,문배동 24-21
12716,용산아이피아대주피오레,한강로2가 2-185
12722,한강자이에클라트,한강로3가 16-85
12725,리바뷰,이촌동 300-27
12731,렉스,이촌동 300-3
12746,청화1,이태원동 22-2
12770,힐튼빌리지2차,후암동 244-88
12771,한신,용산동2가 47-17
12782,화이트타운,효창동 5-45
12792,철우,한강로3가 65-500
12821,스카이빌2,한남동 737-60
12828,한남하우스,한남동 723-3
12838,삼안리치8차,후암동 143-23
12839,힐튼빌리지1차,후암동 244-91
12844,SK청암대(64-1),청암동 64-1
12864,이촌시범,이촌동 206-27
12865,미주A,이촌동 302-54
12893,미주B,이촌동 302-48
12911,한강대우트럼프월드3,한강로3가 65-230
12915,북한강(성원),이촌동 422
12918,장미,이촌동 302-64
12934,용암한신,용산동2가 47-5
12937,로얄카운티-2,원효로1가 17-5
12941,대호드림빌(38-213),용문동 38-213
12963,노블캐슬,동빙고동 310-10
12965,아울스타운,동빙고동 1-44
12975,임선웰빙,효창동 5-72
13002,용산파크자이,한강로1가 50-1
13007,동원베네스트,이촌동 434
13020,울트라멤버스,효창동 5-127
13079,마운틴뷰,이태원동 198-16
13081,형우베스트빌3차,한남동 27-2
13097,SK청암대(64-29),청암동 64-29
13102,효창맨션,효창동 5-495
13144,보람더하임,이촌동 435
13173,현대하이페리온,한남동 805
13248,대경,이태원동 102-12
13282,뉴후암,후암동 426
